emp_no,birth_date,first_name,last_name,gender,hire_date,emp_no,dept_no,from_date,to_date,emp_no,salary,from_date,to_date,dept_no,dept_name
10042,1956-02-26,Magy,Stamatiou,F,1993-03-21,10042,d002,1993-03-21,2000-08-10,10042,81662,1993-03-21,1994-03-21,d002,Finance
10042,1956-02-26,Magy,Stamatiou,F,1993-03-21,10042,d002,1993-03-21,2000-08-10,10042,84183,1994-03-21,1995-03-21,d002,Finance
10042,1956-02-26,Magy,Stamatiou,F,1993-03-21,10042,d002,1993-03-21,2000-08-10,10042,84389,1995-03-21,1996-03-20,d002,Finance
10042,1956-02-26,Magy,Stamatiou,F,1993-03-21,10042,d002,1993-03-21,2000-08-10,10042,85501,1996-03-20,1997-03-20,d002,Finance
10042,1956-02-26,Magy,Stamatiou,F,1993-03-21,10042,d002,1993-03-21,2000-08-10,10042,89833,1997-03-20,1998-03-20,d002,Finance
10042,1956-02-26,Magy,Stamatiou,F,1993-03-21,10042,d002,1993-03-21,2000-08-10,10042,91161,1998-03-20,1999-03-20,d002,Finance
10042,1956-02-26,Magy,Stamatiou,F,1993-03-21,10042,d002,1993-03-21,2000-08-10,10042,95035,1999-03-20,2000-03-19,d002,Finance
10042,1956-02-26,Magy,Stamatiou,F,1993-03-21,10042,d002,1993-03-21,2000-08-10,10042,94868,2000-03-19,2000-08-10,d002,Finance
10050,1958-05-21,Yinghua,Dredge,M,1990-12-25,10050,d002,1990-12-25,1992-11-05,10050,74366,1990-12-25,1991-12-25,d002,Finance
10050,1958-05-21,Yinghua,Dredge,M,1990-12-25,10050,d002,1990-12-25,1992-11-05,10050,78675,1991-12-25,1992-12-24,d002,Finance
10050,1958-05-21,Yinghua,Dredge,M,1990-12-25,10050,d002,1990-12-25,1992-11-05,10050,82220,1992-12-24,1993-12-24,d002,Finance
10050,1958-05-21,Yinghua,Dredge,M,1990-12-25,10050,d002,1990-12-25,1992-11-05,10050,86604,1993-12-24,1994-12-24,d002,Finance
10050,1958-05-21,Yinghua,Dredge,M,1990-12-25,10050,d002,1990-12-25,1992-11-05,10050,88087,1994-12-24,1995-12-24,d002,Finance
10050,1958-05-21,Yinghua,Dredge,M,1990-12-25,10050,d002,1990-12-25,1992-11-05,10050,88836,1995-12-24,1996-12-23,d002,Finance
10050,1958-05-21,Yinghua,Dredge,M,1990-12-25,10050,d002,1990-12-25,1992-11-05,10050,90623,1996-12-23,1997-12-23,d002,Finance
10050,1958-05-21,Yinghua,Dredge,M,1990-12-25,10050,d002,1990-12-25,1992-11-05,10050,91530,1997-12-23,1998-12-23,d002,Finance
10050,1958-05-21,Yinghua,Dredge,M,1990-12-25,10050,d002,1990-12-25,1992-11-05,10050,93689,1998-12-23,1999-12-23,d002,Finance
10050,1958-05-21,Yinghua,Dredge,M,1990-12-25,10050,d002,1990-12-25,1992-11-05,10050,97571,1999-12-23,2000-12-22,d002,Finance
10050,1958-05-21,Yinghua,Dredge,M,1990-12-25,10050,d002,1990-12-25,1992-11-05,10050,97817,2000-12-22,2001-12-22,d002,Finance
10050,1958-05-21,Yinghua,Dredge,M,1990-12-25,10050,d002,1990-12-25,1992-11-05,10050,97830,2001-12-22,9999-01-01,d002,Finance
10059,1953-09-19,Alejandro,McAlpine,F,1991-06-26,10059,d002,1991-06-26,9999-01-01,10059,71218,1991-06-26,1992-06-25,d002,Finance
10059,1953-09-19,Alejandro,McAlpine,F,1991-06-26,10059,d002,1991-06-26,9999-01-01,10059,73299,1992-06-25,1993-06-25,d002,Finance
10059,1953-09-19,Alejandro,McAlpine,F,1991-06-26,10059,d002,1991-06-26,9999-01-01,10059,76448,1993-06-25,1994-06-25,d002,Finance
10059,1953-09-19,Alejandro,McAlpine,F,1991-06-26,10059,d002,1991-06-26,9999-01-01,10059,80739,1994-06-25,1995-06-25,d002,Finance
10059,1953-09-19,Alejandro,McAlpine,F,1991-06-26,10059,d002,1991-06-26,9999-01-01,10059,82318,1995-06-25,1996-06-24,d002,Finance
10059,1953-09-19,Alejandro,McAlpine,F,1991-06-26,10059,d002,1991-06-26,9999-01-01,10059,84522,1996-06-24,1997-06-24,d002,Finance
10059,1953-09-19,Alejandro,McAlpine,F,1991-06-26,10059,d002,1991-06-26,9999-01-01,10059,86290,1997-06-24,1998-06-24,d002,Finance
10059,1953-09-19,Alejandro,McAlpine,F,1991-06-26,10059,d002,1991-06-26,9999-01-01,10059,89824,1998-06-24,1999-06-24,d002,Finance
10059,1953-09-19,Alejandro,McAlpine,F,1991-06-26,10059,d002,1991-06-26,9999-01-01,10059,90380,1999-06-24,2000-06-23,d002,Finance
10059,1953-09-19,Alejandro,McAlpine,F,1991-06-26,10059,d002,1991-06-26,9999-01-01,10059,90689,2000-06-23,2001-06-23,d002,Finance
10059,1953-09-19,Alejandro,McAlpine,F,1991-06-26,10059,d002,1991-06-26,9999-01-01,10059,93280,2001-06-23,2002-06-23,d002,Finance
10059,1953-09-19,Alejandro,McAlpine,F,1991-06-26,10059,d002,1991-06-26,9999-01-01,10059,94161,2002-06-23,9999-01-01,d002,Finance
10080,1957-12-03,Premal,Baek,M,1985-11-19,10080,d002,1994-09-28,1997-07-09,10080,60742,1996-09-27,1997-09-27,d002,Finance
10080,1957-12-03,Premal,Baek,M,1985-11-19,10080,d002,1994-09-28,1997-07-09,10080,62087,1997-09-27,1998-09-27,d002,Finance
10080,1957-12-03,Premal,Baek,M,1985-11-19,10080,d002,1994-09-28,1997-07-09,10080,65129,1998-09-27,1999-09-27,d002,Finance
10080,1957-12-03,Premal,Baek,M,1985-11-19,10080,d002,1994-09-28,1997-07-09,10080,68691,1999-09-27,2000-09-26,d002,Finance
10080,1957-12-03,Premal,Baek,M,1985-11-19,10080,d002,1994-09-28,1997-07-09,10080,71986,2000-09-26,2001-09-26,d002,Finance
10080,1957-12-03,Premal,Baek,M,1985-11-19,10080,d002,1994-09-28,1997-07-09,10080,72729,2001-09-26,9999-01-01,d002,Finance
10132,1956-12-15,Ayakannu,Skrikant,M,1994-10-30,10132,d002,1997-06-18,9999-01-01,10132,61590,1997-06-18,1998-06-18,d002,Finance
10132,1956-12-15,Ayakannu,Skrikant,M,1994-10-30,10132,d002,1997-06-18,9999-01-01,10132,61243,1998-06-18,1999-06-18,d002,Finance
10132,1956-12-15,Ayakannu,Skrikant,M,1994-10-30,10132,d002,1997-06-18,9999-01-01,10132,63083,1999-06-18,2000-06-17,d002,Finance
10132,1956-12-15,Ayakannu,Skrikant,M,1994-10-30,10132,d002,1997-06-18,9999-01-01,10132,67405,2000-06-17,2001-06-17,d002,Finance
10132,1956-12-15,Ayakannu,Skrikant,M,1994-10-30,10132,d002,1997-06-18,9999-01-01,10132,67675,2001-06-17,2002-06-17,d002,Finance
10132,1956-12-15,Ayakannu,Skrikant,M,1994-10-30,10132,d002,1997-06-18,9999-01-01,10132,69587,2002-06-17,9999-01-01,d002,Finance
10144,1959-06-17,Marla,Brendel,M,1985-10-14,10144,d002,1985-10-14,1988-09-02,10144,60264,1986-10-14,1987-10-14,d002,Finance
10144,1959-06-17,Marla,Brendel,M,1985-10-14,10144,d002,1985-10-14,1988-09-02,10144,63968,1987-10-14,1988-10-13,d002,Finance
10144,1959-06-17,Marla,Brendel,M,1985-10-14,10144,d002,1985-10-14,1988-09-02,10144,66772,1988-10-13,1989-10-13,d002,Finance
10144,1959-06-17,Marla,Brendel,M,1985-10-14,10144,d002,1985-10-14,1988-09-02,10144,68160,1989-10-13,1990-10-13,d002,Finance
10144,1959-06-17,Marla,Brendel,M,1985-10-14,10144,d002,1985-10-14,1988-09-02,10144,71280,1990-10-13,1991-10-13,d002,Finance
10144,1959-06-17,Marla,Brendel,M,1985-10-14,10144,d002,1985-10-14,1988-09-02,10144,74279,1991-10-13,1992-10-12,d002,Finance
10144,1959-06-17,Marla,Brendel,M,1985-10-14,10144,d002,1985-10-14,1988-09-02,10144,74378,1992-10-12,1993-08-10,d002,Finance
10146,1959-01-12,Chenyi,Syang,M,1988-06-28,10146,d002,1988-06-28,1990-09-07,10146,60394,1988-06-28,1989-06-28,d002,Finance
10146,1959-01-12,Chenyi,Syang,M,1988-06-28,10146,d002,1988-06-28,1990-09-07,10146,61700,1989-06-28,1990-06-28,d002,Finance
10146,1959-01-12,Chenyi,Syang,M,1988-06-28,10146,d002,1988-06-28,1990-09-07,10146,62454,1990-06-28,1990-09-07,d002,Finance
10147,1964-10-13,Kazuhito,Encarnacion,M,1986-08-21,10147,d002,1987-12-18,9999-01-01,10147,63073,1995-12-16,1996-12-15,d002,Finance
10147,1964-10-13,Kazuhito,Encarnacion,M,1986-08-21,10147,d002,1987-12-18,9999-01-01,10147,62965,1996-12-15,1997-12-15,d002,Finance
10147,1964-10-13,Kazuhito,Encarnacion,M,1986-08-21,10147,d002,1987-12-18,9999-01-01,10147,66714,1997-12-15,1998-12-15,d002,Finance
10147,1964-10-13,Kazuhito,Encarnacion,M,1986-08-21,10147,d002,1987-12-18,9999-01-01,10147,66929,1998-12-15,1999-12-15,d002,Finance
10147,1964-10-13,Kazuhito,Encarnacion,M,1986-08-21,10147,d002,1987-12-18,9999-01-01,10147,67728,1999-12-15,2000-12-14,d002,Finance
10147,1964-10-13,Kazuhito,Encarnacion,M,1986-08-21,10147,d002,1987-12-18,9999-01-01,10147,70705,2000-12-14,2001-12-14,d002,Finance
10147,1964-10-13,Kazuhito,Encarnacion,M,1986-08-21,10147,d002,1987-12-18,9999-01-01,10147,73690,2001-12-14,9999-01-01,d002,Finance
10165,1960-06-16,Miyeon,Macedo,M,1988-05-17,10165,d002,1988-05-17,9999-01-01,10165,61183,1995-05-16,1996-05-15,d002,Finance
10165,1960-06-16,Miyeon,Macedo,M,1988-05-17,10165,d002,1988-05-17,9999-01-01,10165,62834,1996-05-15,1997-05-15,d002,Finance
10165,1960-06-16,Miyeon,Macedo,M,1988-05-17,10165,d002,1988-05-17,9999-01-01,10165,67179,1997-05-15,1998-05-15,d002,Finance
10165,1960-06-16,Miyeon,Macedo,M,1988-05-17,10165,d002,1988-05-17,9999-01-01,10165,67249,1998-05-15,1999-05-15,d002,Finance
10165,1960-06-16,Miyeon,Macedo,M,1988-05-17,10165,d002,1988-05-17,9999-01-01,10165,69698,1999-05-15,2000-05-14,d002,Finance
10165,1960-06-16,Miyeon,Macedo,M,1988-05-17,10165,d002,1988-05-17,9999-01-01,10165,73902,2000-05-14,2001-05-14,d002,Finance
10165,1960-06-16,Miyeon,Macedo,M,1988-05-17,10165,d002,1988-05-17,9999-01-01,10165,76427,2001-05-14,2002-05-14,d002,Finance
10165,1960-06-16,Miyeon,Macedo,M,1988-05-17,10165,d002,1988-05-17,9999-01-01,10165,79095,2002-05-14,9999-01-01,d002,Finance
10173,1962-10-28,Shrikanth,Mahmud,M,1992-03-21,10173,d002,1992-03-21,9999-01-01,10173,85757,1992-03-21,1993-03-21,d002,Finance
10173,1962-10-28,Shrikanth,Mahmud,M,1992-03-21,10173,d002,1992-03-21,9999-01-01,10173,86612,1993-03-21,1994-03-21,d002,Finance
10173,1962-10-28,Shrikanth,Mahmud,M,1992-03-21,10173,d002,1992-03-21,9999-01-01,10173,89372,1994-03-21,1995-03-21,d002,Finance
10173,1962-10-28,Shrikanth,Mahmud,M,1992-03-21,10173,d002,1992-03-21,9999-01-01,10173,93438,1995-03-21,1996-03-20,d002,Finance
10173,1962-10-28,Shrikanth,Mahmud,M,1992-03-21,10173,d002,1992-03-21,9999-01-01,10173,94686,1996-03-20,1997-03-20,d002,Finance
10173,1962-10-28,Shrikanth,Mahmud,M,1992-03-21,10173,d002,1992-03-21,9999-01-01,10173,97719,1997-03-20,1998-03-20,d002,Finance
10173,1962-10-28,Shrikanth,Mahmud,M,1992-03-21,10173,d002,1992-03-21,9999-01-01,10173,101127,1998-03-20,1999-03-20,d002,Finance
10173,1962-10-28,Shrikanth,Mahmud,M,1992-03-21,10173,d002,1992-03-21,9999-01-01,10173,102345,1999-03-20,2000-03-19,d002,Finance
10173,1962-10-28,Shrikanth,Mahmud,M,1992-03-21,10173,d002,1992-03-21,9999-01-01,10173,105719,2000-03-19,2001-03-19,d002,Finance
10173,1962-10-28,Shrikanth,Mahmud,M,1992-03-21,10173,d002,1992-03-21,9999-01-01,10173,108148,2001-03-19,2002-03-19,d002,Finance
10173,1962-10-28,Shrikanth,Mahmud,M,1992-03-21,10173,d002,1992-03-21,9999-01-01,10173,109964,2002-03-19,9999-01-01,d002,Finance
10180,1956-01-29,Shaw,Wendorf,M,1986-02-25,10180,d002,1994-07-01,9999-01-01,10180,62815,1998-06-30,1999-06-30,d002,Finance
10180,1956-01-29,Shaw,Wendorf,M,1986-02-25,10180,d002,1994-07-01,9999-01-01,10180,64447,1999-06-30,2000-06-29,d002,Finance
10180,1956-01-29,Shaw,Wendorf,M,1986-02-25,10180,d002,1994-07-01,9999-01-01,10180,65388,2000-06-29,2001-06-29,d002,Finance
10180,1956-01-29,Shaw,Wendorf,M,1986-02-25,10180,d002,1994-07-01,9999-01-01,10180,65350,2001-06-29,2002-06-29,d002,Finance
10180,1956-01-29,Shaw,Wendorf,M,1986-02-25,10180,d002,1994-07-01,9999-01-01,10180,65015,2002-06-29,9999-01-01,d002,Finance
10187,1961-05-26,Tommaso,Narwekar,F,1991-06-01,10187,d002,1991-06-01,9999-01-01,10187,71454,1991-06-01,1992-05-31,d002,Finance
10187,1961-05-26,Tommaso,Narwekar,F,1991-06-01,10187,d002,1991-06-01,9999-01-01,10187,71280,1992-05-31,1993-05-31,d002,Finance
10187,1961-05-26,Tommaso,Narwekar,F,1991-06-01,10187,d002,1991-06-01,9999-01-01,10187,72078,1993-05-31,1994-05-31,d002,Finance
10187,1961-05-26,Tommaso,Narwekar,F,1991-06-01,10187,d002,1991-06-01,9999-01-01,10187,72343,1994-05-31,1995-05-31,d002,Finance
10187,1961-05-26,Tommaso,Narwekar,F,1991-06-01,10187,d002,1991-06-01,9999-01-01,10187,75878,1995-05-31,1996-05-30,d002,Finance
10187,1961-05-26,Tommaso,Narwekar,F,1991-06-01,10187,d002,1991-06-01,9999-01-01,10187,79187,1996-05-30,1997-05-30,d002,Finance
10187,1961-05-26,Tommaso,Narwekar,F,1991-06-01,10187,d002,1991-06-01,9999-01-01,10187,79161,1997-05-30,1998-05-30,d002,Finance
10187,1961-05-26,Tommaso,Narwekar,F,1991-06-01,10187,d002,1991-06-01,9999-01-01,10187,78925,1998-05-30,1999-05-30,d002,Finance
10187,1961-05-26,Tommaso,Narwekar,F,1991-06-01,10187,d002,1991-06-01,9999-01-01,10187,79735,1999-05-30,2000-05-29,d002,Finance
10187,1961-05-26,Tommaso,Narwekar,F,1991-06-01,10187,d002,1991-06-01,9999-01-01,10187,83182,2000-05-29,2001-05-29,d002,Finance
10187,1961-05-26,Tommaso,Narwekar,F,1991-06-01,10187,d002,1991-06-01,9999-01-01,10187,86778,2001-05-29,2002-05-29,d002,Finance
10187,1961-05-26,Tommaso,Narwekar,F,1991-06-01,10187,d002,1991-06-01,9999-01-01,10187,90645,2002-05-29,9999-01-01,d002,Finance
10194,1954-01-29,Josyula,Hofmeyr,F,1989-05-15,10194,d002,1997-02-14,9999-01-01,10194,64941,1997-02-14,1998-02-14,d002,Finance
10194,1954-01-29,Josyula,Hofmeyr,F,1989-05-15,10194,d002,1997-02-14,9999-01-01,10194,68603,1998-02-14,1999-02-14,d002,Finance
10194,1954-01-29,Josyula,Hofmeyr,F,1989-05-15,10194,d002,1997-02-14,9999-01-01,10194,71992,1999-02-14,2000-02-14,d002,Finance
10194,1954-01-29,Josyula,Hofmeyr,F,1989-05-15,10194,d002,1997-02-14,9999-01-01,10194,75410,2000-02-14,2001-02-13,d002,Finance
10194,1954-01-29,Josyula,Hofmeyr,F,1989-05-15,10194,d002,1997-02-14,9999-01-01,10194,79065,2001-02-13,2002-02-13,d002,Finance
10194,1954-01-29,Josyula,Hofmeyr,F,1989-05-15,10194,d002,1997-02-14,9999-01-01,10194,79131,2002-02-13,9999-01-01,d002,Finance
